sid,name,output_count,individual_count,group_count,intervention_count,timecourse_count,output_pks,licence
PKDB00449,Christensen2002,96,12,3,5,0,"[272907, 272908, 272909, 272910, 272911, 272912, 272913, 272914, 272915, 272916, 272917, 272918, 272919, 272920, 272921, 272922, 272923, 272924, 272925, 272926, 272927, 272928, 272929, 272930, 272931, 272932, 272933, 272934, 272935, 272936, 272937, 272938, 272939, 272940, 272941, 272942, 272943, 272944, 272945, 272946, 272947, 272948, 272949, 272950, 272951, 272952, 272953, 272954, 272955, 272956, 272957, 272958, 272959, 272960, 272961, 272962, 272963, 272964, 272965, 272966, 272967, 272968, 272969, 272970, 272971, 272972, 272973, 272974, 272975, 272976, 272977, 272978, 272979, 272980, 272981, 272982, 272983, 272984, 272985, 272986, 272987, 272988, 272989, 272990, 272991, 272992, 272993, 272994, 272995, 272996, 272997, 272998, 272999, 273000, 273001, 273002]",closed
PKDB00450,Cook1976,38,19,3,1,0,"[273065, 273066, 273041, 273042, 273043, 273044, 273045, 273046, 273047, 273048, 273049, 273050, 273051, 273052, 273053, 273054, 273055, 273056, 273057, 273058, 273059, 273060, 273061, 273062, 273063, 273064, 273067, 273068, 273069, 273070, 273071, 273072, 273073, 273074, 273075, 273076, 273077, 273078]",open
PKDB00128,Cornish1957,60,2,1,3,0,"[273139, 273140, 273141, 273142, 273143, 273144, 273145, 273146, 273147, 273148, 273149, 273150, 273151, 273152, 273153, 273154, 273155, 273156, 273157, 273158, 273159, 273160, 273161, 273162, 273163, 273164, 273165, 273166, 273167, 273168, 273169, 273170, 273171, 273172, 273173, 273174, 273175, 273176, 273177, 273178, 273179, 273180, 273181, 273182, 273183, 273184, 273185, 273186, 273187, 273188, 273189, 273190, 273191, 273192, 273193, 273194, 273195, 273196, 273197, 273198]",open
PKDB00019,CulmMerdek2005,124,0,1,5,6,"[273213, 273214, 273215, 273216, 273217, 273218, 273219, 273220, 273221, 273222, 273223, 273224, 273225, 273226, 273235, 273236, 273237, 273238, 273239, 273240, 273241, 273242, 273351, 273352, 273353, 273354, 273355, 273356, 273357, 273358, 273359, 273315, 273316, 273317, 273318, 273319, 273320, 273321, 273322, 273323, 273324, 273325, 273339, 273340, 273341, 273342, 273343, 273344, 273345, 273346, 273347, 273348, 273349, 273350, 273363, 273376, 273364, 273365, 273366, 273367, 273379, 273380, 273381, 273382, 273383, 273384, 273385, 273386, 273327, 273328, 273329, 273330, 273331, 273332, 273333, 273334, 273335, 273336, 273337, 273338, 273396, 273397, 273398, 273399, 273400, 273401, 273402, 273403, 273404, 273375, 273377, 273378, 273408, 273409, 273410, 273360, 273361, 273362, 273414, 273415, 273416, 273326, 273426, 273427, 273428, 273429, 273430, 273431, 273432, 273433, 273434, 273368, 273369, 273370, 273371, 273372, 273373, 273374, 273438, 273439, 273440, 273444, 273445, 273446]",open
PKDB00451,Cysneiros2007,188,0,1,3,7,"[273494, 273495, 273496, 273497, 273498, 273499, 273500, 273501, 273502, 273503, 273504, 273505, 273506, 273507, 273508, 273509, 273510, 273511, 273512, 273513, 273514, 273515, 273516, 273517, 273518, 273519, 273520, 273521, 273522, 273523, 273524, 273525, 273526, 273527, 273528, 273529, 273530, 273531, 273532, 273533, 273534, 273535, 273536, 273537, 273538, 273539, 273540, 273629, 273630, 273631, 273632, 273633, 273634, 273635, 273636, 273637, 273638, 273673, 273674, 273675, 273676, 273677, 273678, 273649, 273650, 273651, 273652, 273653, 273654, 273655, 273656, 273657, 273661, 273662, 273663, 273664, 273665, 273666, 273667, 273668, 273669, 273670, 273671, 273679, 273680, 273681, 273682, 273683, 273684, 273685, 273686, 273687, 273688, 273689, 273690, 273691, 273692, 273693, 273694, 273695, 273696, 273619, 273620, 273621, 273622, 273623, 273624, 273625, 273626, 273627, 273628, 273706, 273707, 273708, 273709, 273710, 273711, 273712, 273713, 273714, 273639, 273640, 273641, 273642, 273643, 273644, 273645, 273646, 273647, 273648, 273724, 273725, 273726, 273727, 273728, 273729, 273730, 273731, 273732, 273742, 273743, 273744, 273745, 273746, 273747, 273748, 273749, 273750, 273760, 273761, 273762, 273763, 273764, 273765, 273766, 273767, 273768, 273658, 273659, 273660, 273778, 273779, 273780, 273781, 273782, 273783, 273784, 273785, 273786, 273796, 273797, 273798, 273799, 273800, 273801, 273802, 273803, 273804, 273672, 273814, 273815, 273816, 273817, 273818, 273819, 273820, 273821, 273822]",closed
PKDB00328,Darwish2008,282,0,6,6,8,"[273924, 273925, 273926, 273927, 273928, 273929, 273930, 273931, 273932, 273933, 273934, 273935, 273936, 273937, 273938, 273939, 273940, 273941, 273942, 273943, 273944, 273945, 273946, 273947, 273948, 273949, 273950, 273951, 273952, 273953, 273954, 273955, 273956, 273957, 273958, 273959, 273960, 273961, 273962, 273963, 273964, 273965, 273966, 273967, 273968, 273969, 273970, 273971, 273972, 273973, 273974, 273975, 273976, 273977, 273978, 273979, 273980, 273981, 273982, 273983, 273984, 273985, 273986, 273987, 273988, 273989, 273990, 273991, 273992, 273993, 273994, 273995, 273996, 273997, 273998, 273999, 274000, 274001, 274002, 274003, 274004, 274005, 274006, 274007, 274008, 274009, 274010, 274011, 274012, 274013, 274014, 274015, 274016, 274017, 274018, 274019, 274020, 274021, 274022, 274023, 274024, 274138, 274139, 274140, 274141, 274142, 274143, 274144, 274145, 274161, 274162, 274163, 274164, 274165, 274174, 274175, 274176, 274177, 274178, 274202, 274203, 274204, 274205, 274206, 274207, 274208, 274209, 274215, 274216, 274217, 274218, 274219, 274229, 274230, 274231, 274232, 274147, 274148, 274149, 274150, 274151, 274152, 274153, 274154, 274155, 274156, 274157, 274158, 274159, 274160, 274252, 274253, 274254, 274255, 274256, 274257, 274258, 274259, 274260, 274134, 274135, 274136, 274137, 274146, 274270, 274271, 274272, 274273, 274274, 274275, 274276, 274277, 274278, 274188, 274189, 274190, 274191, 274192, 274193, 274194, 274195, 274196, 274197, 274198, 274199, 274200, 274201, 274288, 274289, 274290, 274291, 274292, 274293, 274294, 274295, 274296, 274210, 274211, 274212, 274213, 274214, 274306, 274307, 274308, 274309, 274310, 274311, 274312, 274313, 274314, 274166, 274167, 274168, 274169, 274170, 274171, 274172, 274173, 274324, 274325, 274326, 274327, 274328, 274329, 274330, 274331, 274332, 274179, 274180, 274181, 274182, 274183, 274184, 274185, 274186, 274187, 274342, 274343, 274344, 274345, 274346, 274347, 274348, 274349, 274350, 274233, 274234, 274235, 274236, 274237, 274238, 274239, 274240, 274241, 274242, 274360, 274361, 274362, 274363, 274364, 274365, 274366, 274367, 274368, 274220, 274221, 274222, 274223, 274224, 274225, 274226, 274227, 274228, 274378, 274379, 274380, 274381, 274382, 274383, 274384, 274385, 274386]",closed
PKDB00452,Dinger2016,9,0,1,3,0,"[274396, 274397, 274398, 274399, 274400, 274401, 274402, 274403, 274404]",closed
PKDB00453,Djordjevic2008,12,0,15,1,0,"[274417, 274418, 274419, 274420, 274421, 274422, 274423, 274424, 274425, 274426, 274427, 274428]",closed
PKDB00032,Faber2004,26,24,3,1,0,"[274453, 274454, 274455, 274456, 274457, 274458, 274459, 274460, 274461, 274462, 274463, 274464, 274465, 274466, 274467, 274468, 274469, 274470, 274471, 274472, 274473, 274474, 274475, 274476, 274479, 274480]",closed
PKDB00033,Fuhr1993a,104,12,3,2,0,"[274529, 274530, 274531, 274532, 274533, 274534, 274535, 274536, 274537, 274538, 274539, 274540, 274541, 274542, 274543, 274544, 274545, 274546, 274547, 274548, 274549, 274550, 274551, 274552, 274553, 274554, 274555, 274556, 274557, 274558, 274559, 274560, 274561, 274562, 274563, 274564, 274565, 274566, 274567, 274568, 274569, 274570, 274571, 274572, 274573, 274574, 274575, 274576, 274625, 274626, 274627, 274628, 274629, 274630, 274631, 274632, 274633, 274634, 274635, 274636, 274637, 274638, 274639, 274640, 274641, 274642, 274643, 274644, 274645, 274646, 274647, 274648, 274649, 274650, 274651, 274652, 274653, 274654, 274655, 274656, 274657, 274658, 274659, 274660, 274661, 274662, 274663, 274664, 274665, 274666, 274667, 274668, 274669, 274670, 274671, 274672, 274674, 274676, 274678, 274680, 274682, 274684, 274686, 274688]",open
PKDB00454,Furge2006,116,10,1,1,0,"[274779, 274780, 274781, 274782, 274783, 274784, 274785, 274786, 274787, 274788, 274789, 274790, 274791, 274792, 274793, 274794, 274795, 274796, 274797, 274798, 274799, 274800, 274801, 274802, 274803, 274804, 274805, 274806, 274807, 274808, 274809, 274810, 274811, 274812, 274813, 274814, 274815, 274816, 274817, 274818, 274819, 274820, 274821, 274822, 274823, 274824, 274825, 274826, 274827, 274828, 274829, 274830, 274831, 274832, 274833, 274834, 274835, 274836, 274837, 274838, 274839, 274840, 274841, 274842, 274843, 274844, 274845, 274846, 274847, 274848, 274849, 274850, 274851, 274852, 274853, 274854, 274855, 274856, 274857, 274858, 274859, 274860, 274861, 274862, 274863, 274864, 274865, 274866, 274867, 274868, 274895, 274896, 274897, 274898, 274899, 274900, 274901, 274902, 274903, 274904, 274905, 274906, 274907, 274908, 274909, 274910, 274911, 274912, 274913, 274914, 274915, 274916, 274917, 274918, 274919, 274920]",closed
PKDB00034,George1986,64,20,5,2,0,"[274933, 274934, 274935, 274936, 274937, 274938, 274939, 274940, 274941, 274942, 274943, 274944, 274957, 274958, 274959, 274960, 274961, 274962, 274963, 274964, 274965, 274966, 274967, 274968, 275009, 275010, 275011, 275012, 275013, 275014, 275015, 275016, 275017, 275018, 275019, 275020, 275021, 275022, 275023, 275024, 275025, 275026, 275027, 275028, 275029, 275030, 275031, 275032, 275033, 275034, 275035, 275036, 275037, 275038, 275039, 275040, 275041, 275042, 275043, 275044, 275045, 275046, 275047, 275048]",closed
PKDB00035,Ghassabian2009,33,11,1,5,0,"[275082, 275083, 275084, 275085, 275086, 275087, 275088, 275089, 275090, 275091, 275092, 275093, 275094, 275095, 275096, 275097, 275098, 275099, 275100, 275101, 275102, 275103, 275104, 275105, 275106, 275107, 275108, 275109, 275110, 275111, 275112, 275113, 275114]",closed
PKDB00036,Granfors2005,62,30,3,1,0,"[275145, 275146, 275147, 275148, 275149, 275150, 275151, 275152, 275153, 275154, 275155, 275156, 275157, 275158, 275159, 275160, 275161, 275162, 275163, 275164, 275165, 275166, 275167, 275168, 275169, 275170, 275171, 275172, 275173, 275174, 275205, 275206, 275207, 275208, 275209, 275210, 275211, 275212, 275213, 275214, 275215, 275216, 275217, 275218, 275219, 275220, 275221, 275222, 275223, 275224, 275225, 275226, 275227, 275228, 275229, 275230, 275231, 275232, 275233, 275234, 275236, 275238]",closed
PKDB00456,Gurley2005a,92,42,1,6,0,"[275323, 275324, 275325, 275326, 275327, 275328, 275329, 275330, 275331, 275332, 275333, 275334, 275335, 275336, 275337, 275338, 275339, 275340, 275341, 275342, 275343, 275344, 275345, 275346, 275347, 275348, 275349, 275350, 275351, 275352, 275353, 275354, 275355, 275356, 275357, 275358, 275359, 275360, 275361, 275362, 275363, 275364, 275365, 275366, 275367, 275368, 275369, 275370, 275371, 275372, 275373, 275374, 275375, 275376, 275377, 275378, 275379, 275380, 275381, 275382, 275383, 275384, 275385, 275386, 275387, 275388, 275389, 275390, 275391, 275392, 275393, 275394, 275395, 275396, 275397, 275398, 275399, 275400, 275401, 275402, 275403, 275404, 275405, 275406, 275415, 275416, 275417, 275418, 275419, 275420, 275421, 275422]",closed
PKDB00457,Gurley2005b,88,40,1,6,0,"[275503, 275504, 275505, 275506, 275507, 275508, 275509, 275510, 275511, 275512, 275513, 275514, 275515, 275516, 275517, 275518, 275519, 275520, 275521, 275522, 275523, 275524, 275525, 275526, 275527, 275528, 275529, 275530, 275531, 275532, 275533, 275534, 275535, 275536, 275537, 275538, 275539, 275540, 275541, 275542, 275543, 275544, 275545, 275546, 275547, 275548, 275549, 275550, 275551, 275552, 275553, 275554, 275555, 275556, 275557, 275558, 275559, 275560, 275561, 275562, 275563, 275564, 275565, 275566, 275567, 275568, 275569, 275570, 275571, 275572, 275573, 275574, 275575, 275576, 275577, 275578, 275579, 275580, 275581, 275582, 275591, 275592, 275593, 275594, 275595, 275596, 275597, 275598]",closed
PKDB00458,HamonVilcot2004,118,85,3,1,0,"[275852, 275853, 275854, 275855, 275856, 275857, 275858, 275859, 275860, 275861, 275862, 275863, 275864, 275865, 275866, 275867, 275868, 275869, 275870, 275871, 275872, 275873, 275874, 275875, 275876, 275877, 275878, 275879, 275880, 275881, 275882, 275883, 275884, 275885, 275886, 275887, 275888, 275889, 275890, 275891, 275892, 275893, 275894, 275895, 275896, 275897, 275898, 275899, 275900, 275901, 275902, 275903, 275904, 275905, 275906, 275907, 275908, 275909, 275910, 275911, 275912, 275913, 275914, 275915, 275916, 275917, 275918, 275919, 275920, 275921, 275922, 275923, 275924, 275925, 275926, 275927, 275928, 275929, 275930, 275931, 275932, 275933, 275934, 275935, 275936, 275937, 275938, 275939, 275940, 275941, 275942, 275943, 275944, 275945, 275946, 275947, 275948, 275949, 275950, 275951, 275952, 275953, 275954, 275955, 275956, 275957, 275958, 275959, 275960, 275961, 275962, 275963, 275964, 275965, 275966, 275967, 275970, 275971]",closed
PKDB00038,Harder1988,160,0,1,37,0,"[275973, 275975, 275977, 275979, 275981, 275983, 275985, 275987, 275989, 275991, 275993, 275995, 275997, 275999, 276001, 276003, 276005, 276007, 276009, 276011, 276013, 276015, 276017, 276019, 276021, 276023, 276025, 276027, 276029, 276031, 276033, 276035, 276037, 276039, 276041, 276043, 276045, 276047, 276049, 276051, 276053, 276055, 276057, 276059, 276061, 276063, 276065, 276067, 276069, 276071, 276073, 276075, 276077, 276079, 276081, 276083, 276085, 276087, 276089, 276091, 276093, 276095, 276097, 276099, 276101, 276103, 276105, 276107, 276109, 276111, 276113, 276115, 276117, 276119, 276121, 276123, 276125, 276127, 276129, 276131, 276133, 276135, 276137, 276139, 276141, 276143, 276145, 276147, 276149, 276151, 276153, 276155, 276157, 276159, 276161, 276163, 276165, 276167, 276169, 276171, 276173, 276175, 276177, 276179, 276181, 276183, 276185, 276187, 276189, 276191, 276193, 276195, 276197, 276199, 276201, 276203, 276205, 276207, 276209, 276211, 276213, 276215, 276217, 276219, 276221, 276223, 276225, 276227, 276229, 276231, 276233, 276235, 276237, 276239, 276241, 276243, 276245, 276247, 276249, 276251, 276253, 276255, 276257, 276259, 276261, 276263, 276265, 276267, 276269, 276271, 276273, 276275, 276277, 276279, 276281, 276283, 276285, 276287, 276289, 276291]",closed
PKDB00459,Hashiguchi1992,72,18,1,2,2,"[276319, 276320, 276321, 276322, 276323, 276324, 276325, 276326, 276327, 276382, 276383, 276384, 276385, 276386, 276387, 276388, 276389, 276390, 276391, 276392, 276393, 276394, 276395, 276396, 276397, 276398, 276399, 276346, 276347, 276348, 276349, 276350, 276351, 276352, 276353, 276354, 276355, 276356, 276357, 276358, 276359, 276360, 276361, 276362, 276363, 276310, 276311, 276312, 276313, 276314, 276315, 276316, 276317, 276318, 276409, 276410, 276411, 276412, 276413, 276414, 276415, 276416, 276417, 276427, 276428, 276429, 276430, 276431, 276432, 276433, 276434, 276435]",closed
PKDB00460,He2017,433,8,3,4,39,"[276505, 276506, 276507, 276508, 276509, 276510, 276511, 276512, 276513, 276514, 276515, 276516, 276517, 276518, 276519, 276520, 276521, 276522, 276523, 276524, 276525, 276701, 276702, 276703, 276704, 276705, 276706, 276707, 276708, 276709, 276710, 276711, 276712, 276713, 276714, 276715, 276717, 276718, 276719, 276720, 276721, 276722, 276723, 276724, 276725, 276740, 276741, 276742, 276743, 276744, 276745, 276746, 276747, 276748, 276749, 276750, 276751, 276755, 276756, 276757, 276758, 276759, 276760, 276727, 276728, 276729, 276730, 276731, 276732, 276733, 276770, 276761, 276762, 276763, 276774, 276775, 276776, 276777, 276778, 276779, 276781, 276782, 276783, 276787, 276788, 276789, 276790, 276793, 276794, 276795, 276796, 276798, 276799, 276800, 276801, 276806, 276811, 276812, 276813, 276814, 276815, 276816, 276819, 276820, 276824, 276825, 276826, 276827, 276829, 276830, 276831, 276832, 276833, 276834, 276835, 276836, 276837, 276838, 276839, 276840, 276841, 276842, 276843, 276844, 276845, 276846, 276847, 276848, 276849, 276850, 276852, 276853, 276854, 276855, 276856, 276857, 276858, 276859, 276862, 276863, 276803, 276804, 276805, 276867, 276868, 276869, 276807, 276808, 276809, 276810, 276879, 276880, 276881, 276882, 276883, 276884, 276885, 276886, 276887, 276897, 276898, 276899, 276900, 276901, 276902, 276903, 276904, 276905, 276817, 276818, 276909, 276910, 276911, 276821, 276822, 276823, 276921, 276922, 276923, 276924, 276925, 276926, 276927, 276928, 276929, 276828, 276939, 276940, 276941, 276942, 276943, 276944, 276945, 276946, 276947, 276951, 276952, 276953, 276957, 276958, 276959, 276963, 276964, 276965, 276969, 276970, 276971, 276975, 276976, 276977, 276981, 276982, 276983, 276851, 276993, 276994, 276995, 276996, 276997, 276998, 276999, 277000, 277001, 277005, 277006, 277007, 277017, 277018, 277019, 277020, 277021, 277022, 277023, 277024, 277025, 276860, 276861, 277035, 277036, 277037, 277038, 277039, 277040, 277041, 277042, 277043, 276764, 276765, 276766, 276767, 276768, 276769, 277053, 277054, 277055, 277056, 277057, 277058, 277059, 277060, 277061, 276771, 276772, 276773, 277065, 277066, 277067, 277071, 277072, 277073, 276780, 277077, 277078, 277079, 276784, 276785, 276786, 277089, 277090, 277091, 277092, 277093, 277094, 277095, 277096, 277097, 276791, 276792, 277101, 277102, 277103, 276797, 277113, 277114, 277115, 277116, 277117, 277118, 277119, 277120, 277121, 276802, 277131, 277132, 277133, 277134, 277135, 277136, 277137, 277138, 277139, 276736, 276737, 276738, 276739, 277143, 277144, 277145, 277149, 277150, 277151, 277155, 277156, 277157, 277161, 277162, 277163, 276752, 276753, 276754, 277173, 277174, 277175, 277176, 277177, 277178, 277179, 277180, 277181, 277185, 277186, 277187, 277191, 277192, 277193, 277197, 277198, 277199, 276695, 276696, 276697, 276698, 276699, 276700, 277209, 277210, 277211, 277212, 277213, 277214, 277215, 277216, 277217, 277221, 277222, 277223, 277227, 277228, 277229, 276716, 277239, 277240, 277241, 277242, 277243, 277244, 277245, 277246, 277247, 277257, 277258, 277259, 277260, 277261, 277262, 277263, 277264, 277265, 276726, 277275, 277276, 277277, 277278, 277279, 277280, 277281, 277282, 277283, 276734, 276735, 277293, 277294, 277295, 277296, 277297, 277298, 277299, 277300, 277301, 276481, 276482, 276483, 276484, 276485, 276486, 276487, 276488, 276489, 276490, 276491, 276492, 276493, 276494, 276495, 276496, 276497, 276498, 276499, 276500, 276501, 276502, 276503, 276504]",closed
PKDB00040,Healy1989,20,0,1,4,0,"[277309, 277310, 277311, 277312, 277313, 277314, 277315, 277319, 277320, 277321, 277329, 277330, 277331, 277332, 277333, 277334, 277335, 277339, 277340, 277341]",open
PKDB00461,Holstege1989,571,70,7,1,8,"[277469, 277470, 277471, 277472, 277473, 277474, 277475, 277476, 277477, 277478, 277479, 277480, 277481, 277482, 277483, 277484, 277485, 277486, 277611, 277582, 277583, 277584, 277585, 277586, 277587, 277588, 277589, 277590, 277591, 277601, 277602, 277603, 277604, 277605, 277606, 277607, 277608, 277609, 277610, 277592, 277593, 277594, 277595, 277596, 277597, 277598, 277599, 277600, 277621, 277622, 277623, 277624, 277625, 277626, 277627, 277628, 277629, 277644, 277645, 277646, 277647, 277648, 277649, 277650, 277651, 277652, 277653, 277654, 277633, 277634, 277635, 277636, 277637, 277638, 277639, 277640, 277641, 277642, 278239, 278240, 278241, 278242, 278243, 278244, 278245, 278246, 278247, 278248, 278323, 278324, 278325, 278326, 278327, 278328, 278329, 278330, 278331, 278332, 278333, 278334, 278335, 278336, 278337, 278338, 278339, 278340, 278341, 278342, 278343, 278344, 278407, 278408, 278409, 278410, 278411, 278412, 278413, 278414, 278415, 278416, 278417, 278418, 278419, 278420, 278421, 278422, 278423, 278424, 278425, 278426, 278427, 278428, 278429, 278430, 278431, 278432, 278433, 278434, 278435, 278436, 278437, 278079, 278080, 278081, 278459, 278460, 278461, 278462, 278463, 278464, 278465, 278466, 278467, 278468, 278469, 278470, 278471, 278472, 278473, 278474, 278475, 278476, 278477, 278478, 278479, 278480, 278082, 278083, 278084, 278085, 278086, 278087, 278088, 278089, 278090, 278091, 278092, 278093, 278094, 278095, 278096, 278097, 278098, 278099, 278100, 278101, 278102, 278103, 278104, 278105, 278106, 278107, 278108, 278109, 278110, 278111, 278112, 278113, 278114, 278115, 278116, 278117, 278118, 278119, 278120, 278121, 278122, 278123, 278124, 278125, 278126, 278127, 278128, 278129, 278130, 278131, 278132, 278133, 278134, 278135, 278136, 278137, 278138, 278139, 278140, 278141, 278142, 278143, 278144, 278145, 278146, 278147, 278148, 278149, 278150, 278151, 278152, 278153, 278154, 278155, 278156, 278157, 278158, 278159, 278160, 278161, 278162, 278163, 278164, 278165, 278166, 278167, 278168, 278169, 278170, 278171, 278172, 278173, 278174, 278175, 278176, 278177, 278178, 278179, 278180, 278181, 278182, 278183, 278184, 278185, 278186, 278187, 278188, 278189, 278190, 278191, 278192, 278193, 278194, 278195, 278196, 278197, 278198, 278199, 278200, 278201, 278202, 278203, 278204, 278205, 278206, 278207, 278208, 278209, 278210, 278211, 278212, 278213, 278214, 278215, 278216, 278217, 278218, 278219, 278220, 278221, 278222, 278223, 278224, 278225, 278226, 278227, 278228, 278229, 278230, 278231, 278232, 278233, 278234, 278235, 278236, 278237, 278238, 278249, 278250, 278251, 278252, 278253, 278254, 278255, 278256, 278257, 278258, 278259, 278260, 278261, 278262, 278263, 278264, 278265, 278266, 278267, 278268, 278269, 278270, 278271, 278272, 278273, 278274, 278275, 278276, 278277, 278278, 278279, 278280, 278281, 278282, 278283, 278284, 278285, 278286, 278287, 278288, 278289, 278290, 278291, 278292, 278293, 278294, 278295, 278296, 278297, 278298, 278299, 278300, 278301, 278302, 278303, 278304, 278305, 278306, 278307, 278308, 278309, 278310, 278311, 278312, 278313, 278314, 278315, 278316, 278317, 278318, 278319, 278320, 278321, 278322, 278345, 278346, 278347, 278348, 278349, 278350, 278351, 278352, 278353, 278354, 278355, 278356, 278357, 278358, 278359, 278360, 278361, 278362, 278363, 278364, 278365, 278366, 278367, 278368, 278369, 278370, 278371, 278372, 278373, 278374, 278375, 278376, 278377, 278378, 278379, 278380, 278381, 278382, 278383, 278384, 278385, 278386, 278387, 278388, 278389, 278390, 278391, 278392, 278393, 278394, 278395, 278396, 278397, 278398, 278399, 278400, 278401, 278402, 278403, 278404, 278405, 278406, 278438, 278439, 278440, 278441, 278442, 278443, 278444, 278445, 278446, 278447, 278448, 278449, 278450, 278451, 278452, 278453, 278454, 278455, 278456, 278457, 278458, 278481, 278482, 278483, 278484, 278485, 278486, 278487, 278488, 278489, 278490, 278491, 278492, 278493, 278494, 278495, 278496, 278497, 278498, 278499, 278500, 278501, 278502, 277571, 277572, 277573, 277574, 277575, 277576, 277577, 277578, 277579, 277580, 277581, 278512, 278513, 278514, 278515, 278516, 278517, 278518, 278519, 278520, 277612, 277613, 277614, 277615, 277616, 277617, 277618, 277619, 277620, 278530, 278531, 278532, 278533, 278534, 278535, 278536, 278537, 278538, 278542, 278543, 278544, 277630, 277631, 277632, 278551, 278552, 278553, 278554, 278555, 278556, 278560, 278561, 278562, 278566, 278567, 278568, 278575, 278576, 278577, 278578, 278579, 278580, 277643, 278587, 278588, 278589, 278590, 278591, 278592]",closed
